"id";"nombre";"abreviatura";"urlgob";"url";"facebook";"twitter";"instagram";"linkedin";"youtube";"tiktok"
1879;"Municipalidad Distrital de Estique";"MDE";"/muniestique";"www.gob.pe/muniestique";"www.facebook.com/profile.php?id=100089636037765";"";"www.instagram.com/muniestique";"";"";""
1880;"Municipalidad Distrital de Estique Pampa";"MDEP";"/muniestiquepampa";"www.gob.pe/muniestiquepampa";"www.facebook.com/Municipalidad-Distrital-Estique-Pampa-MDEP";"";"";"";"";""
1881;"Municipalidad Distrital de Héroes Albarracín";"MDHA";"/muniheroesalbarracin";"www.gob.pe/muniheroesalbarracin";"www.facebook.com/people/Municipalidad-Distrital-Héroes-Albarracin-Chucatamani/100064842572356/";"";"";"";"";""
1882;"Municipalidad Distrital de Tarucachi";"MDT";"/munitarucachi";"www.gob.pe/munitarucachi";"www.facebook.com/MunicipalidadDistritaldeTarucachi";"";"";"";"";""
1883;"Municipalidad Distrital de Ticaco";"MDT";"/muniticaco";"www.gob.pe/muniticaco";"www.facebook.com/muni.ticaco";"";"www.instagram.com/munticaco";"";"";"www.tiktok.com/@muniticaco"
1884;"Municipalidad Provincial de Tarata";"MPT";"/munitarata";"www.gob.pe/munitarata";"www.facebook.com/MunicipalidadProvincialDeTarata";"www.twitter.com/@municipalidad_de_Tarata";"www.instagram.com/municipalidadtarata";"";"";""
1885;"Municipalidad Distrital de Canoas de Punta Sal";"MDCPS";"/municanoasdepuntasal";"www.gob.pe/municanoasdepuntasal";"www.facebook.com/MunicipalidadDeCanoas";"";"www.instagram.com/municanoasdepuntasal/";"";"www.youtube.com/@MuniCanoasdePuntaSal";""
1886;"Municipalidad Distrital de Casitas";"MDC";"/municasitas";"www.gob.pe/municasitas";"www.facebook.com/MuniCasitas/";"";"www.instagram.com/municasitas/";"";"";""
1887;"Municipalidad Provincial de Contralmirante Villar";"MPCVZ";"/municontralmirantevillar";"www.gob.pe/municontralmirantevillar";"www.facebook.com/municvz";"www.twitter.com/municvz";"www.instagram.com/municvz";"";"www.youtube.com/@municipalidadprovincialdec6573";""
1888;"Municipalidad Distrital de Corrales";"MDC";"/municorrales";"www.gob.pe/municorrales";"www.facebook.com/municorrales.gob.pe";"";"";"";"";""
1889;"Municipalidad Distrital de La Cruz";"MDLC";"/munilacruz";"www.gob.pe/munilacruz";"www.facebook.com/Muni-de-la-cruz-oficial-115578051413895";"";"";"";"";""
1890;"Municipalidad Distrital de Pampas de Hospital";"MDPH";"/munipampasdehospital";"www.gob.pe/munipampasdehospital";"www.facebook.com/munipampasdehospital";"";"";"";"";""
1891;"Municipalidad Distrital de Aguas Verdes";"MDAV";"/muniaguasverdes";"www.gob.pe/muniaguasverdes";"www.facebook.com/profile.php?id=100079199046298";"";"";"";"www.youtube.com/@municipalidadaguasverdes";""
1892;"Municipalidad Distrital de Papayal";"MDP";"/munipapayal";"www.gob.pe/munipapayal";"www.facebook.com/profile.php?id=100088846407283";"www.twitter.com/DePapayal";"www.instagram.com/munidispapayal";"";"www.youtube.com/channel/UCIT5a_ak5rQkwXWUD6Jhx6Q/videos";""
1893;"Municipalidad Provincial de Atalaya";"MPA";"/muniatalaya";"www.gob.pe/muniatalaya";"www.facebook.com/Municipalidad.Atalaya";"";"www.instagram.com/muniatalaya";"";"www.youtube.com/@muniatalaya01";"www.tiktok.com/@muniatalaya"
1894;"Municipalidad Distrital de Campo Verde";"MDCV";"/municampoverde";"www.gob.pe/municampoverde";"www.facebook.com/profile.php?id=100089370151539";"";"";"";"www.youtube.com/@municipalidadcampoverde";""
1895;"Municipalidad Distrital de Iparia";"MDI";"/muniiparia";"www.gob.pe/muniiparia";"www.facebook.com/Municipalidad-Distrital-de-Iparia-Gestión-2023-2026-117334574657993/";"www.twitter.com/@IPARIA2023";"";"";"www.youtube.com/watch?v=KIgsTIRxpAU&t=5s";""
